total_points,mins_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,ea_index,previous_pl_seasons,Player_pid
1646,24873,151,91,71,242,1,0,7,56,2,0,3304,10,269
30,429,3,0,1,4,0,0,0,3,0,0,118,3,270
55,855,5,2,6,7,0,0,0,0,0,0,237,1,271
11,107,0,0,1,1,0,0,0,0,0,7,16,2,274
26,733,0,0,1,8,1,0,0,2,0,0,54,5,275
1,60,0,0,0,2,0,0,0,0,0,0,0,1,276
1053,25645,30,45,48,363,0,0,3,11,0,0,1602,10,282
0,0,0,0,0,0,0,0,0,0,0,0,0,1,283
120,3049,4,6,0,61,0,0,0,7,0,0,0,3,284
1,9,0,0,0,0,0,0,0,0,0,0,0,4,286
229,5301,14,7,3,99,0,0,1,4,0,0,272,5,291
186,4243,0,0,19,38,0,0,0,1,0,113,541,5,294
52,1833,0,0,2,33,0,0,0,0,0,56,173,4,295
340,9243,3,8,31,122,0,0,0,14,1,0,1260,6,296
483,11993,7,5,44,155,0,0,0,21,1,0,1607,4,297
230,6198,3,1,20,97,0,0,0,5,0,0,742,4,298
68,1293,0,2,7,13,0,0,0,1,0,0,197,3,299
35,574,0,0,4,3,0,0,0,1,0,0,86,2,300
86,1965,0,2,9,19,0,0,0,3,0,0,320,1,301
36,1085,1,1,1,15,0,0,0,1,0,0,203,1,302
130,3060,3,0,10,36,0,0,0,2,0,0,452,1,303
190,4501,7,7,10,84,0,0,0,2,0,0,706,4,304
472,13296,9,15,34,183,0,0,0,14,0,0,1541,6,305
234,5131,3,15,17,72,0,0,0,8,1,0,868,4,306
22,483,0,0,3,3,0,0,0,0,0,0,66,3,307
274,4337,12,22,17,45,0,0,1,4,0,0,1063,2,308
43,1539,0,0,9,17,0,0,0,5,0,0,183,1,309
80,2800,1,0,10,35,0,0,0,10,0,0,371,3,310
274,5096,21,11,16,84,0,0,0,7,0,0,850,5,311
596,11821,43,22,39,158,0,0,1,18,0,0,1794,7,313
191,3276,19,8,5,67,0,0,2,4,1,0,801,2,314
487,13473,0,1,9,225,0,4,0,10,0,456,354,10,315
152,3285,0,1,12,46,0,0,0,0,0,125,395,3,316
5,405,0,0,0,11,0,0,0,0,0,11,31,1,317
801,22410,12,8,52,323,2,0,0,50,5,0,1698,8,318
383,13911,1,3,29,209,1,0,0,31,2,0,940,9,319
329,10418,2,3,29,157,0,0,0,16,1,0,1223,4,320
278,8558,1,6,24,121,0,0,0,23,0,0,1053,3,321
111,3334,0,0,10,53,0,0,0,5,0,0,398,3,322
578,17720,7,11,35,282,2,0,0,52,1,0,1007,10,323
118,3690,0,0,12,58,0,0,0,6,0,0,427,2,324
1050,23344,12,30,57,289,2,0,0,35,1,0,1697,10,325
2,50,0,0,0,1,0,0,0,0,0,0,13,2,326
589,13860,19,28,11,220,0,0,0,21,1,0,641,10,327
626,11283,33,34,44,177,2,0,2,38,3,0,1363,6,328
573,18551,4,14,44,275,0,0,0,40,1,0,1697,8,329
685,15356,39,22,44,224,2,0,5,25,1,0,1863,6,330
365,6974,16,23,25,95,0,0,0,7,0,0,1218,3,331
83,2092,2,3,8,36,0,0,0,3,1,0,270,1,332
97,2013,3,6,9,29,0,0,0,3,0,0,302,1,333
43,1260,2,0,1,27,0,0,0,4,0,0,194,1,334
153,2900,11,3,12,44,0,0,0,4,0,0,579,2,335
1021,19859,68,51,32,279,2,0,0,21,0,0,1456,10,336
263,5421,21,6,7,83,0,0,0,13,0,0,721,5,337
56,1097,4,2,2,22,0,0,0,0,0,0,246,1,338
286,6528,0,0,20,97,0,0,0,3,0,284,691,9,339
4,180,0,0,0,6,0,0,0,0,0,11,18,3,340
471,14133,10,7,26,236,2,0,0,17,6,0,872,9,341
818,21159,8,14,51,278,1,0,0,21,1,0,1425,10,342
247,8845,2,7,22,157,1,0,0,32,0,0,1081,5,343
216,5582,6,9,13,102,0,0,0,6,0,0,626,5,344
1,37,0,0,0,1,0,0,0,0,0,0,4,1,345
