pid,name,nationality,position
521,Asoro Joel,Sweden,MID
522,Baptiste Alex,England,DEF
523,Alexander-Arnold Trent,England,MID
524,Manninger Alexander,Austria,GKP
525,Defour Steven,Belgium,MID
526,Calleri Jonathan,Argentina,FWD
527,da Silva Fabio Pereira,Brazil,DEF
528,Maffeo Pablo,Spain,DEF
529,McGee Luke,England,GKP
530,Chalobah Nathaniel,England,MID
531,O'Neill Aiden,Australia,MID
532,Robson Josh,England,DEF
533,Pienaar Steven,South Africa,MID
534,Burke Reece,England,DEF
535,Fletcher Steven,Scotland,FWD
536,Fraser Ryan,Scotland,MID
537,Robson Thomas,England,DEF
538,Manquillo Javier,Spain,DEF
539,Pereyra Roberto,Argentina,MID
540,Janmaat Daryl,Netherlands,DEF
541,Bravo Claudio,Chile,GKP
542,Fernandes Edimilson,Switzerland,MID
543,Boateng Hiram,England,MID
544,Ngoy Julien,Belgium,FWD
545,Hinchcliffe Ben,England,FWD
546,McBurnie Oliver,England,FWD
547,Stryjek Maksymilian,Poland,GKP
548,Rose Jack,England,GKP
549,Perez Lucas,Spain,FWD
550,Zaza Simone,Italy,FWD
551,Boufal Sofiane,Morocco,MID
552,Okaka Stefano,Italy,FWD
553,Bamford Patrick,England,FWD
554,Marshall David,Scotland,GKP
555,Mustafi Shkodran,Germany,DEF
556,Mariappa Adrian,Jamaica,DEF
557,Keane Will,England,FWD
558,Mawson Alfie,England,DEF
559,Ndong Didier,Gabon,MID
560,Hendrick Jeff,Ireland,MID
561,Alonso Marcos,Spain,DEF
562,Martins Indi Bruno,Portugal,DEF
563,Traore Adama,Spain,MID
564,Lopez Sabata Pau,Spain,GKP
565,Nkoudou Georges-Kevin,France,MID
566,Weir James,England,MID
567,Slimani Islam,Algeria,FWD
568,Arbeloa Alvaro,Spain,DEF
569,Mbokani Dieumerci,Congo,FWD
570,Luiz David,Brazil,DEF
571,Robson-Kanu Hal,Wales,FWD
572,Sissoko Moussa,France,MID
573,Henriksen Markus,Norway,MID
574,Grant Lee,England,GKP
575,Anichebe Victor,Nigeria,FWD
576,Flamini Mathieu,France,MID
