total_points,mins_played,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,ea_index,influence,creativity,threat,ict_index,Player_pid
47,1170,0,0,2,16,1,2,0,2,0,31,151,263.6,0.0,0.0,26.4,124
35,712,1,1,2,6,0,0,1,1,0,0,212,147.2,141.3,80.0,36.9,125
42,966,2,0,2,14,0,0,0,2,0,0,327,260.6,97.3,104.0,46.3,126
34,1080,0,1,2,15,0,0,0,2,0,0,221,283.8,18.0,49.0,35.0,127
24,984,0,0,1,12,0,0,0,1,0,0,336,199.2,39.8,37.0,27.8,128
9,247,0,0,1,3,0,0,0,0,0,0,126,33.0,18.4,25.0,7.5,129
0,0,0,0,0,0,0,0,0,0,0,0,22,0.0,0.0,0.0,0.0,130
0,0,0,0,0,0,0,0,0,0,0,0,53,0.0,0.0,0.0,0.0,131
16,468,0,0,1,8,0,0,0,0,0,0,304,94.8,26.2,39.0,16.0,132
36,795,1,2,3,9,0,0,0,1,0,0,245,130.2,277.4,282.0,68.3,133
41,990,2,1,2,14,0,0,0,2,0,0,654,190.4,423.0,362.0,97.6,134
12,404,0,0,0,9,0,0,0,1,0,0,241,47.0,60.5,29.0,13.6,135
5,232,0,0,0,4,0,0,0,1,0,0,365,31.4,10.3,1.0,4.4,136
35,1103,2,0,3,15,0,0,0,6,0,0,418,249.4,148.0,169.0,56.4,137
0,0,0,0,0,0,0,0,0,0,0,0,44,0.0,0.0,0.0,0.0,138
0,0,0,0,0,0,0,0,0,0,0,0,75,0.0,0.0,0.0,0.0,139
9,475,0,0,1,7,0,0,0,3,0,0,130,77.0,42.8,0.0,12.0,140
12,370,0,0,0,3,0,0,0,0,0,0,283,41.0,107.8,107.0,25.5,141
7,179,0,0,0,3,0,0,0,0,0,0,278,25.4,18.7,6.0,5.0,142
73,1106,7,3,3,14,0,0,0,2,0,0,754,389.6,295.0,544.0,122.9,143
3,46,0,0,0,0,0,0,0,0,0,0,289,6.8,17.2,22.0,4.6,144
0,0,0,0,0,0,0,0,0,0,0,0,19,0.0,0.0,0.0,0.0,145
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,146
23,450,0,0,1,7,0,1,0,0,0,21,0,162.6,0.0,0.0,16.3,147
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,148
27,1260,0,1,1,29,0,0,0,1,0,0,0,427.2,14.4,98.0,54.0,149
23,540,2,0,0,9,1,0,0,1,0,0,0,247.6,2.4,93.0,34.3,150
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,151
