id,gameweek,home_score,away_score,home_team,away_team,home_mgr,away_mgr
320,32,,,20,16,Slaven Bilic,Bob Bradley
321,33,,,5,8,Alan Pardew,Claudio Ranieri
322,33,,,6,3,Ronald Koeman,Sean Dyche
323,33,,,11,4,Jose Mourinho,Antonio Conte
324,33,,,12,1,Aitor Karanka,Arsene Wenger
325,33,,,13,10,Claude Puel,Pep Guardiola
326,33,,,14,7,Mark Hughes,Mike Phelan
327,33,,,15,20,David Moyes,Slaven Bilic
328,33,,,17,2,Mauricio Pochettino,Eddie Howe
329,33,,,18,16,Walter Mazzarri,Bob Bradley
330,33,,,19,9,Tony Pullis,Jurgen Klopp
331,34,,,1,15,Arsene Wenger,David Moyes
332,34,,,2,12,Eddie Howe,Aitor Karanka
333,34,,,3,11,Sean Dyche,Jose Mourinho
334,34,,,4,13,Antonio Conte,Claude Puel
335,34,,,7,18,Mike Phelan,Walter Mazzarri
336,34,,,8,17,Claudio Ranieri,Mauricio Pochettino
337,34,,,9,5,Jurgen Klopp,Alan Pardew
338,34,,,10,19,Pep Guardiola,Tony Pullis
339,34,,,16,14,Bob Bradley,Mark Hughes
340,34,,,20,6,Slaven Bilic,Ronald Koeman
341,35,,,5,3,Alan Pardew,Sean Dyche
342,35,,,6,4,Ronald Koeman,Antonio Conte
343,35,,,11,16,Jose Mourinho,Bob Bradley
344,35,,,12,10,Aitor Karanka,Pep Guardiola
345,35,,,13,7,Claude Puel,Mike Phelan
346,35,,,14,20,Mark Hughes,Slaven Bilic
347,35,,,15,2,David Moyes,Eddie Howe
348,35,,,17,1,Mauricio Pochettino,Arsene Wenger
349,35,,,18,9,Walter Mazzarri,Jurgen Klopp
350,35,,,19,8,Tony Pullis,Claudio Ranieri
351,36,,,1,11,Arsene Wenger,Jose Mourinho
352,36,,,2,14,Eddie Howe,Mark Hughes
353,36,,,3,19,Sean Dyche,Tony Pullis
354,36,,,4,12,Antonio Conte,Aitor Karanka
355,36,,,7,15,Mike Phelan,David Moyes
356,36,,,8,18,Claudio Ranieri,Walter Mazzarri
357,36,,,9,13,Jurgen Klopp,Claude Puel
358,36,,,10,5,Pep Guardiola,Alan Pardew
359,36,,,16,6,Bob Bradley,Ronald Koeman
360,36,,,20,17,Slaven Bilic,Mauricio Pochettino
361,37,,,2,3,Eddie Howe,Sean Dyche
362,37,,,5,7,Alan Pardew,Mike Phelan
363,37,,,6,18,Ronald Koeman,Walter Mazzarri
364,37,,,10,8,Pep Guardiola,Claudio Ranieri
365,37,,,12,13,Aitor Karanka,Claude Puel
366,37,,,14,1,Mark Hughes,Arsene Wenger
367,37,,,15,16,David Moyes,Bob Bradley
368,37,,,17,11,Mauricio Pochettino,Jose Mourinho
369,37,,,19,4,Tony Pullis,Antonio Conte
370,37,,,20,9,Slaven Bilic,Jurgen Klopp
371,38,,,1,6,Arsene Wenger,Ronald Koeman
372,38,,,3,20,Sean Dyche,Slaven Bilic
373,38,,,4,15,Antonio Conte,David Moyes
374,38,,,7,17,Mike Phelan,Mauricio Pochettino
375,38,,,8,2,Claudio Ranieri,Eddie Howe
376,38,,,9,12,Jurgen Klopp,Aitor Karanka
377,38,,,11,5,Jose Mourinho,Alan Pardew
378,38,,,13,14,Claude Puel,Mark Hughes
379,38,,,16,19,Bob Bradley,Tony Pullis
380,38,,,18,10,Walter Mazzarri,Pep Guardiola
